Конфигурация;Количество запросов;Среднее время (мс);Медианное время (мс);90% Квантиль (мс);95% Квантиль (мс);99% Квантиль (мс);Минимальное время (мс);Минимальное время (мс);Ошибки (%);Пропускная способность (запрос/мин);Получено КБ/сек;Отправлено KБ/сек
12;228;869;797;1069;1291;1572;746;2069;0,000;3,749;0,850;0,590
17;323;854;805;1018;1136;1360;726;1550;0,000;5,313;43831;0,840
22;415;881;818;1090;1257;1610;733;1796;0,000;6,804;19360;45839
27;511;896;834;1067;1218;1759;737;2500;0,000;8,396;32509;11689
32;603;919;858;1094;1255;1643;737;2440;0,000;9,918;45323;20455
37;698;918;880;1077;1180;1482;728;1698;0,000;11,474;21582;29221
42;792;972;909;1148;1348;2024;745;2630;0,000;12,982;34001;45749
47;886;996;938;1185;1424;1779;740;2061;0,000;14,550;46813;47150
52;979;1024;975;1210;1491;1895;753;2136;0,000;15,960;21976;18660
57;1074;1062;1007;1281;1467;2070;744;2683;0,000;17,622;35855;28157
62;1168;1087;1058;1265;1417;1962;738;2367;0,000;19,123;11414;45660
67;1262;1114;1097;1298;1438;1775;761;2075;0,000;20,672;24198;45717
72;1355;1182;1158;1373;1562;2015;750;2409;0,000;22,112;36251;17593
77;1450;1249;1235;1466;1599;1857;760;2022;0,000;23,646;12175;26359
82;1529;2186;2332;3107;3301;3671;747;3872;13,669;24,491;19115;31107
87;1539;2695;3082;3369;4178;4269;746;4479;63,093;24,633;20576;31837
92;1574;2878;3354;3645;3698;4283;739;4788;69,822;25,108;24228;34759
97;1571;3104;3515;4038;4311;4728;749;5107;64,799;24,839;22037;33298
102;1573;3262;3827;4242;4362;4612;738;5947;67,896;25,061;23863;34394
107;1094;4912;4068;4815;21077;22319;744;22321;65,082;18,190;46600;21217
